ref,value,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
C2,0u01,,,,,,,,
C3,100u,35V,,,,,,,
C4,10u,,,,,,,,
C5,0u33,,,,,,,,
C6,47n,,,,,,,,
C7,10u,,,,,,,,
C8,22p,,,,,,,,
C9,22p,,,,,,,,
C10,22u,,,,,,,,
C11,22u,,,,,,,,
C12,2u2,,,,,,,,
C13,1u,,,,,,,,
C14,0u1,,,,,,,,
C15,0u1,,,,,,,,
C16,0u1,,,,,,,,
C17,0u1,,,,,,,,
C18,10u,,,,,,,,
C19,10u,,,,,,,,
C20,0u22,,,,,,,,
C21,0u22,,,,,,,,
C22,100u,,,,,,,,
C23,100u,,,,,,,,
C24,0u1,,,,,,,,
C25,0u1,,,,,,,,
C26,0u22,,,,,,,,
C27,0u22,,,,,,,,
C28,0u1,,,,,,,,
C29,0u1,,,,,,,,
C30,0u22,,,,,,,,
C31,0u22,,,,,,,,
C32,100u,,,,,,,,
C33,100u,,,,,,,,
C34,0u1,,,,,,,,
C35,0u1,,,,,,,,
C36,0u22,,,,,,,,
C37,0u22,,,,,,,,
C38,0u1,,,,,,,,
C39,0u1,,,,,,,,
C40,0u1,,,,,,,,
C41,0u1,,,,,,,,
C42,0u1,,,,,,,,
C43,0u1,,,,,,,,
C44,10p,,,,,,,,
C45,10p,,,,,,,,
C46,0u1,,,,,,,,
C47,10u,,,,,,,,
C48,0u1,,,,,,,,
C49,0u1,,,,,,,,
C50,0u1,,,,,,,,
C51,0u1,,,,,,,,
C52,0u1,,,,,,,,
C53,0u1,,,,,,,,
C54,47n,,,,,,,,
C55,0u1,,,,,,,,
C56,0u1,,,,,,,,
C57,0u1,,,,,,,,
C58,2u2,,,,,,,,
C59,4u7,,,,,,,,
C60,0u1,,,,,,,,
C61,4u7,,,,,,,,
C62,0u1,,,,,,,,
C63,47n,,,,,,,,
C64,0u1,,,,,,,,
C65,10p,,,,,,,,
C66,4u7,,,,,,,,
C67,0u1,,,,,,,,
C68,4u7,,,,,,,,
C69,0u1,,,,,,,,
C70,0u1,,,,,,,,
C71,0u1,,,,,,,,
C72,0u1,,,,,,,,
C73,47n,,,,,,,,
C74,47n,,,,,,,,
C75,0u1,,,,,,,,
C76,0u1,,,,,,,,
C77,0u1,,,,,,,,
C78,0u1,,,,,,,,
C79,47n,,,,,,,,
C80,47n,,,,,,,,
C81,47n,,,,,,,,
C82,47n,,,,,,,,
C83,47n,,,,,,,,
C84,47n,,,,,,,,
C85,47n,,,,,,,,
C86,47n,,,,,,,,
C87,47n,,,,,,,,
C88,47n,,,,,,,,
C89,47n,,,,,,,,
C90,10nF,,,,,,,,
C91,0.1u,,,,,,,,
C92,100u,,,,,,,,
C93,0u1,,,,,,,,
C94,100u,,,,,,,,
C95,1u,,,,,,,,
D1,SS3P4,,,,,,,,
D2,SS14M,,,,,,,,
D3,LED,,,,,,,,
D4,TS4148,,,,,,,,
D5,TS4148,,,,,,,,
D6,LED,,,,,,,,
D7,LED,,,,,,,,
D8,LED,,,,,,,,
D9,LED,,,,,,,,
D10,LED,,,,,,,,
D11,LED,,,,,,,,
D12,LED,,,,,,,,
D13,SS14M,,,,,,,,
D14,SS14M,,,,,,,,
D15,VIN,,,,,,,,
D16,3.3V,,,,,,,,
D17,5V+,,,,,,,,
D18,blue LED,,,,,,,,
D19,green LED,,,,,,,,
D20,red LED,,,,,,,,
D21,red LED,,,,,,,,
J1,EXPANSION,,,,,,,,
J2,CONN2,,,,,,,,
J3,VREF,,,,,,,,
J4,BED HEATER,,,,,,,,
J5,BED TEMP,,,,,,,,
J6,CONN2,,,,,,,,
J7,Z MOT/STOP,,,,,,,,
J8,Y MOT/STOP,,,,,,,,
J9,X MOT/STOP,,,,,,,,
J10,E0 MOT/STOP,,,,,,,,
J15,uSDHC,,,,,,,,
J16,VREF,,,,,,,,
J17,VREF,,,,,,,,
J18,VREF,,,,,,,,
J19,ETHERNET,,,,,,,,
J20,5V_PS,,,,,,,,
J21,JTAG,,,,,,,,
J22,USB,,,,,,,,
J23,POWER IN,,,,,,,,
J24,GND  V_IN,,,,,,,,
J26,GND,,,,,,,,
J27,TP,,,,,,,,
J28,Probe,,,,,,,,
JP9,5V_EN,,,,,,,,
JP10,ATX_5V_EN,,,,,,,,
L2,Ferrite Bead,,,,,,,,
L3,100Mhz,,,,,,,,
L4,100Mhz,,,,,,,,
L5,100Mhz,,,,,,,,
L6,100Mhz,,,,,,,,
L7,100Mhz,,,,,,,,
P1,CONN_4,,,,,,,,
R1,680R,,,,,,,,
R2,39R 1%,,,,,,,,
R3,39R 1%,,,,,,,,
R4,10k,,,,,,,,
R5,10k,,,,,,,,
R6,33R,,,,,,,,
R7,33R,,,,,,,,
R8,33R,,,,,,,,
R9,33R,,,,,,,,
R10,33R,,,,,,,,
R11,1k,,,,,,,,
R12,4k7,,,,,,,,
R13,1k,,,,,,,,
R14,4k7,,,,,,,,
R15,6k49  1%,,,,,,,,
R16,220R,,,,,,,,
R17,220R,,,,,,,,
R18,470R,,,,,,,,
R19,4K7,,,,,,,,
R20,220R,,,,,,,,
R21,4K7,,,,,,,,
R22,470R,,,,,,,,
R23,220R,,,,,,,,
R24,470R,,,,,,,,
R25,220R,,,,,,,,
R26,100k,,,,,,,,
R27,10k,,,,,,,,
R28,100k,,,,,,,,
R29,10k,,,,,,,,
R30,0R,,,,,,,,
R31,0R,,,,,,,,
R32,0R1,,,,,,,,
R33,0R1,,,,,,,,
R34,0R1,,,,,,,,
R35,0R1,,,,,,,,
R36,100k,,,,,,,,
R37,2k7,,,,,,,,
R38,100k,,,,,,,,
R39,10k,,,,,,,,
R40,100k,,,,,,,,
R41,10k,,,,,,,,
R42,0R,,,,,,,,
R43,0R,,,,,,,,
R44,0R1,,,,,,,,
R45,0R1,,,,,,,,
R46,0R1,,,,,,,,
R47,0R1,,,,,,,,
R48,6k8,,,,,,,,
R49,100k,,,,,,,,
R50,4k7,,,,,,,,
R51,4k7,,,,,,,,
R52,100k,,,,,,,,
R53,100k,,,,,,,,
R54,2k7,,,,,,,,
R55,2k7,,,,,,,,
R56,100R,,,,,,,,
R57,100R,,,,,,,,
R58,100R,,,,,,,,
R59,100R,,,,,,,,
R60,220R,,,,,,,,
R61,220R,,,,,,,,
R62,10K,,,,,,,,
R63,10K,,,,,,,,
R64,10K,,,,,,,,
R65,4k7,,,,,,,,
R66,10k,,,,,,,,
R67,4k7,,,,,,,,
R68,4k7,,,,,,,,
R69,680R,,,,,,,,
R70,680R,,,,,,,,
R71,680R,,,,,,,,
R72,680R,,,,,,,,
R73,47K,,,,,,,,
R74,47K,,,,,,,,
R75,47K,,,,,,,,
R76,47K,,,,,,,,
R77,100k,,,,,,,,
R78,100k,,,,,,,,
R79,100k,,,,,,,,
R80,10K,,,,,,,,
R81,10K,,,,,,,,
R82,0R,,,,,,,,
R83,0R,,,,,,,,
R84,4k7,,,,,,,,
R85,680R,,,,,,,,
R86,470R,,,,,,,,
R87,470R,,,,,,,,
S1,RESET,,,,,,,,
S2,MCU ERASE,,,,,,,,
SJ1,MS2,,,,,,,,
SJ2,MS1,,,,,,,,
SJ3,MS2,,,,,,,,
SJ4,MS1,,,,,,,,
SJ5,MS2,,,,,,,,
SJ6,MS1,,,,,,,,
SJ7,MS2,,,,,,,,
SJ8,MS1,,,,,,,,
TR1,BSH105,,,,,,,,
TR2,IPD036N04L,,,,,,,,
TR3,BSH105,,,,,,,,
TR4,IPD036N04L,,,,,,,,
TR5,BSH105,,,,,,,,
TR6,IPD036N04L,,,,,,,,
TR7,BSH105,,,,,,,,
U1,ATSAM3X8E,,,,,,,,
U2,TC2117-3.3VDBTR,,,,,,,,
U3,MC7805CDTG,,,,,,,,
U4,KSZ8051RNL,,,,,,,,
U5,A4982SLPTR,,,,,,,,
U6,A4982SLPTR,,,,,,,,
U7,A4982SLPTR,,,,,,,,
U8,A4982SLPTR,,,,,,,,
U9,MCP44X1,,,,,,,,
U10,SP2525A,,,,,,,,
X1,CRYSTAL_4PIN,25MHz,,,,,,,
X2,CRYSTAL_4PIN,12MHz,,,,,,,
