Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u 50V","C_0603",70.656000,114.140000,270.000000,top
"C2","100u 35V","C_ELEC_6.3x7.7",67.930000,105.016320,0.000000,top
"C3","0u1  50V","C_0603",72.688000,114.140000,270.000000,top
"C4","1u 50V","C_0603",70.910000,89.883000,270.000000,top
"C5","100u 35V","C_ELEC_6.3x7.7",67.930000,83.553320,0.000000,top
"C6","0u1  50V","C_0603",72.815000,89.883000,270.000000,top
"C7","1u 50V","C_0603",70.910000,65.118000,270.000000,top
"C8","100u 35V","C_ELEC_6.3x7.7",67.930000,58.549560,0.000000,top
"C9","0u1  50V","C_0603",72.815000,65.118000,270.000000,top
"C10","0u1","C_0603",72.688000,110.965000,270.000000,top
"C11","0u1","C_0603",72.200320,86.337160,270.000000,top
"C12","0u1","C_0603",72.256200,61.683920,270.000000,top
"C13","0u47","C_0603",89.490000,108.940000,270.000000,top
"C14","0u47","C_0603",89.740000,84.550000,270.000000,top
"C15","0u47","C_0603",89.680000,59.770000,270.000000,top
"C16","100u 35V","C_ELEC_6.3x7.7",48.750000,11.160000,0.000000,top
"C17","0u1 35V","C_0603",47.050000,18.040000,270.000000,top
"C18","0u01 X7R 10% 50V","C_0603",91.000000,107.600000,270.000000,top
"C19","0u01 X7R 10% 50V","C_0603",91.310000,82.910000,270.000000,top
"C20","0u01 X7R 10% 50V","C_0603",91.210000,58.360000,270.000000,top
"C21","0u01 X7R 10% 50V","C_0603",90.610000,113.860000,90.000000,top
"C22","0u01 X7R 10% 50V","C_0603",90.770000,89.250000,90.000000,top
"C23","0u01 X7R 10% 50V","C_0603",90.600000,64.630000,90.000000,top
"C24","1n >50V","C_0603",94.580000,30.630000,180.000000,top
"C25","1n >50V","C_0603",92.830000,33.910000,270.000000,top
"C26","1n >50V","C_0603",92.710000,41.310000,90.000000,top
"C27","1u 50V","C_0603",70.910000,40.734000,270.000000,top
"C28","100u 35V","C_ELEC_6.3x7.7",67.930000,33.571200,0.000000,top
"C29","0u1  50V","C_0603",72.815000,40.734000,270.000000,top
"C30","1u 50V","C_0603",70.910000,16.096000,270.000000,top
"C31","100u 35V","C_ELEC_6.3x7.7",67.930000,9.319280,0.000000,top
"C32","0u1  50V","C_0603",72.815000,16.096000,270.000000,top
"C33","0u1","C_0603",72.218100,12.473960,270.000000,top
"C34","0u1","C_0603",72.416220,37.170380,270.000000,top
"C35","0u47","C_0603",89.690000,35.240000,270.000000,top
"C36","0u47","C_0603",89.660000,10.720000,270.000000,top
"C37","1n >50V","C_0603",92.710000,38.230000,270.000000,top
"C38","1n >50V","C_0603",94.240000,102.620000,180.000000,top
"C39","0u01 X7R 10% 50V","C_0603",91.220000,33.740000,270.000000,top
"C40","0u01 X7R 10% 50V","C_0603",91.150000,9.190000,270.000000,top
"C41","0u01 X7R 10% 50V","C_0603",90.600000,40.050000,90.000000,top
"C42","0u01 X7R 10% 50V","C_0603",90.660000,15.280000,90.000000,top
"C47","10u 35V","C_1206",22.820000,94.410000,180.000000,top
"C49","10u 35V","C_1206",37.900000,94.540000,180.000000,top
"C50","0u1","C_0603",9.916980,20.104120,270.000000,top
"C51","0u1","C_0603",47.493740,43.769300,180.000000,top
"C52","0u1","C_0603",33.523740,43.853120,180.000000,top
"C54","22nF","C_0603",41.030000,21.880000,270.000000,top
"C55","10u 35V","C_1206",57.440000,18.900000,270.000000,top
"C56","100u 35V","C_ELEC_6.3x7.7",59.500000,11.850000,90.000000,top
"C57","1n >50V","C_0603",92.750000,106.750000,270.000000,top
"C58","10u 35V","C_1206",48.920000,16.940000,90.000000,top
"C59","10u 35V","C_0805",41.990000,14.870000,180.000000,top
"C60","10u 35V","C_0805",41.990000,12.900000,180.000000,top
"C61","0u01 35V","C_0603",43.030000,26.860000,270.000000,top
"C62","100u 25V","C_ELEC_6.3x7.7",40.220000,8.480000,180.000000,top
"C63","10u 35V","C_0805",35.750000,13.110000,90.000000,top
"C64","0u1","C_0603",48.440000,26.150000,180.000000,top
"C65","1n >50V","C_0603",92.760000,109.810000,90.000000,top
"C66","1n >50V","C_0603",92.780000,112.850000,270.000000,top
"C67","1n >50V","C_0603",92.670000,10.140000,90.000000,top
"C68","1n >50V","C_0603",92.680000,13.220000,270.000000,top
"C69","1n >50V","C_0603",94.400000,20.460000,180.000000,top
"C70","1n >50V","C_0603",94.380000,79.710000,180.000000,top
"C71","1n >50V","C_0603",92.840000,82.920000,270.000000,top
"C72","1n >50V","C_0603",92.750000,90.550000,90.000000,top
"C73","1n >50V","C_0603",92.670000,16.280000,90.000000,top
"C74","1n >50V","C_0603",92.780000,87.510000,90.000000,top
"C75","1n >50V","C_0603",94.260000,55.280000,180.000000,top
"C76","1n >50V","C_0603",92.740000,58.360000,270.000000,top
"C77","1n >50V","C_0603",92.700000,65.890000,90.000000,top
"C78","1n >50V","C_0603",92.700000,62.790000,90.000000,top
"D1","E2stp","D_0603",18.332000,83.152000,270.000000,top
"D2","E3stp","D_0603",18.332000,74.516000,90.000000,top
"D3","E4stp","D_0603",18.641880,63.771800,90.000000,top
"D4","E5stp","D_0603",18.332000,54.704000,90.000000,top
"D5","E6stp","D_0603",18.382800,44.325560,90.000000,top
"D6","DB2W40300L","D_SOD-123F",62.850000,16.390000,0.000000,top
"D7","DB2W40300L","D_SOD-123F",41.090000,18.050000,270.000000,top
"D8","E3 Heat","D_0603",22.883680,112.360000,180.000000,top
