47n,8,"C2 C3 C4 C5 C7 C8 C9 C10"
0u1,11,"C1 C6 C14 C24 C34 C40 C41 C55 C56 C75 C77"
0.1u,2,"C11 C12"
0u22,4,"C20 C26 C30 C36"
10u,2,"C18 C19"
100u,4,"C22 C32 C92 C94"
LED,4,"D6 D7 D9 D12"
EXPANSION,1,"J1"
PWR,3,"J2 J4 J24"
VREF,2,"J3 J17"
E2 H&T,1,"J5"
SPADE1,2,"J6 J7"
E2 MOT/STOP,1,"J8"
E1 MOT/STOP,1,"J9"
E0 COOL,1,"J10"
E0 TEMP,1,"J11"
E1 H&T,1,"J12"
FAN_0,1,"J13"
E0 MOT/STOP,2,"J14 J15"
E0 HEAT,1,"J19"
TP,1,"J27"
Probe,1,"J28"
E0 FAN,1,"K1"
CM_CHOKE,4,"L1 L8 L11 L12"
STEP,1,"P1"
E0 H&T,1,"P2"
0R,2,"R30 R42"
0R1,4,"R32 R34 R44 R46"
100R,2,"R56 R57"
220R,2,"R20 R23"
470R,2,"R18 R22"
680R,2,"R69 R72"
2k7,1,"R37"
4K7,2,"R19 R21"
4k7,4,"R50 R51 R65 R67"
10k,3,"R27 R39 R66"
100k,3,"R26 R77 R78"
100k,1,"R38"
MS2,2,"SJ1 SJ3"
MS1,10,"SJ2 SJ4 SJ11 SJ12 SJ13 SJ14 SJ17 SJ20 SJ21 SJ22"
BSH105,2,"TR1 TR3"
IPD036N04L,2,"TR2 TR4"
A4982SLPTR,2,"U5 U7"
MCP44X1,1,"U9"
