"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"";"Fixing_M4";1;"";;;
2;"J23";"TERM_2-WAY_6.35mm";1;"POWER_IN";;;
3;"J22";"uUSB_AB";1;"USB";;;
4;"U3";"TO-252";1;"MC7805CDTG";;;
5;"J20";"PIN_ARRAY_3X1";1;"5V_PS";;;
6;"U7,U5,U8,U6";"TSSOP-24";4;"A4982SLPTR";;;
7;"U9";"TSSOP-20";1;"MCP44X1";;;
8;"S2";"SW_6x6";1;"MCU_ERASE";;;
9;"S1";"SW_6x6";1;"RESET";;;
10;"TR5,TR3,TR1,TR7";"SOT-23";4;"BSH105";;;
11;"U2";"SOT-223";1;"TC2117-3.3VDBTR";;;
12;"C23,C33,C32,C22,C3,C92,C94";"C_ELEC_6.3x7.7";7;"100u";;;
13;"R6,R7,R8,R9,R10";"R_0603";5;"33R";;;
14;"R11,R13";"R_0603";2;"1k";;;
15;"R12,R14,R51,R50,R67,R68,R65";"R_0603";7;"4k7";;;
16;"R15";"R_0603";1;"6k49__1%";;;
17;"R18,R22,R24";"R_0603";3;"470R";;;
18;"R20,R23,R16,R17,R25,R60,R61";"R_0603";7;"220R";;;
19;"R52,R38,R40,R49,R28,R26,R36,R53,R77,R78,R79";"R_0603";11;"100k";;;
20;"R57,R56,R58,R59";"R_0603";4;"100R";;;
21;"R1,R69,R70,R71,R72";"R_0603";5;"680R";;;
22;"R2,R3";"R_0603";2;"39R_1%";;;
23;"R4,R5,R39,R41,R29,R27,R66";"R_0603";7;"10k";;;
24;"C8,C9";"C_0603";2;"22p";;;
25;"C16,C17,C40,C41,C42,C43,C34,C38,C35,C39,C25,C29,C24,C28,C55,C14,C15,C56,C57,C70,C46,C48,C49,C72,C71,C69,C50,C67,C51,C64,C62,C52,C60,C53,C75,C76,C77,C78,C93";"C_0603";39;"0u1";;;
26;"R42,R43,R31,R30,R83,R82";"R_0603";6;"0R";;;
27;"R48";"R_0603";1;"6k8";;;
28;"C30,C36,C31,C37,C21,C27,C20,C26";"C_0603";8;"0u22";;;
29;"R33,R32,R34,R35,R44,R45,R46,R47";"R_1206";8;"0R1";;;
30;"D4,D5";"D_0805";2;"TS4148";;;
31;"D3,D8,D7,D6,D9,D10,D11,D12";"D_0603";8;"LED";;;
32;"C12,C58";"C_0805";2;"2u2";;;
33;"C4,C7,C18,C19,C47";"C_0805";5;"10u";;;
34;"TR6,TR4,TR2";"D-PAK";3;"IPD036N04L";;;
35;"J7";"PIN_ARRAY_7X1";1;"Z_MOT/STOP";;;
36;"J8";"PIN_ARRAY_7X1";1;"Y_MOT/STOP";;;
37;"J9";"PIN_ARRAY_7X1";1;"X_MOT/STOP";;;
38;"J10";"PIN_ARRAY_7X1";1;"E0_MOT/STOP";;;
39;"J5";"PIN_ARRAY_2X1";1;"BED_TEMP";;;
40;"L2";"R_0603";1;"Ferrite_Bead";;;
41;"C10,C11";"C_1210";2;"22u";;;
42;"J21";"MICRO_5x2";1;"JTAG";;;
43;"D13,D14";"uSMA";2;"SS14M";;;
44;"J15";"uSD_SKT";1;"uSDHC";;;
45;"R21,R19";"R_0603";2;"4K7";;;
46;"L6,L5,L4,L3,L7";"R_0603";5;"100Mhz";;;
47;"U1";"LQFP144";1;"ATSAM3X8E";;;
48;"C68,C66,C61,C59";"C_0805";4;"4u7";;;
49;"C13,C95";"C_0603";2;"1u";;;
50;"C44,C45,C65";"C_0603";3;"10p";;;
51;"C2";"C_0603";1;"0u01";;;
52;"R37,R54,R55";"R_0603";3;"2k7";;;
53;"J1";"PIN_ARRAY_25X2";1;"EXPANSION";;;
54;"U10";"SOIC-8";1;"SP2525A";;;
55;"U4";"QFN32-5x5";1;"KSZ8051RNL";;;
56;"C6,C84,C80,C81,C82,C83,C85,C86,C87,C88,C89,C79,C54,C63,C73,C74";"C_0603";16;"47n";;;
57;"D1";"DO-220AA";1;"SS3P4";;;
58;"D2";"DO-220AA";1;"SS14M";;;
59;"J19";"RJ45+MAG";1;"ETHERNET";;;
60;"X1,X2";"Xtal_5x3.2";2;"CRYSTAL_4PIN";;;
61;"J3,J16,J17,J18";"Vref";4;"VREF";;;
62;"R63,R64,R81,R80,R62";"R_0603";5;"10K";;;
63;"R73,R74,R75,R76";"R_0603";4;"47K";;;
64;"JP9";"JUMPER";1;"5V_EN";;;
65;"JP10";"JUMPER";1;"ATX_5V_EN";;;
66;"Fid,Fid,Fid";"Fiducial";3;"";;;
67;"SJ1,SJ7,SJ3,SJ5";"SJ";4;"MS2";;;
68;"SJ2,SJ4,SJ6,SJ8";"SJ";4;"MS1";;;
69;"";"Duet_logo_text_conv";1;"";;;
70;"J27";"TP";1;"TP";;;
71;"J26";"TP";1;"GND";;;
72;"J24";"PIN_ARRAY_2X1";1;"GND__V_IN";;;
73;"D16";"D_0603";1;"3.3V";;;
74;"D17";"D_0603";1;"5V+";;;
75;"D15";"D_0603";1;"VIN";;;
76;"C91";"C_0603";1;"0.1u";;;
77;"C90";"C_0603";1;"10nF";;;
78;"C5";"C_0805";1;"0u33";;;
79;"J4";"TERM_2-WAY_6.35mm";1;"BED_HEATER";;;
80;"L13,L14,L12,L11,L10,L9,L8,L1";"CMC";8;"CM_CHOKE";;;
81;"J28";"PIN_ARRAY_4x1";1;"Probe";;;
82;"J11";"pin_array_10x1";1;"E0_HEAT/TEMP/FAN";;;
83;",,";"Fixing_M3";3;"";;;
